year,name,key_name,material,size,style,image
,Concave Thrice,concave-thrice,,,pendant,ThriceC.jpg
,Thrice,thrice,,,pendant,Thrice.jpg
,Five Pointed Star,five-pointed-star,,,pendant,FiveStar.jpg
,Cassini,cassini,,,pendant,Cassini.jpg
,Black Hole,black-hole,,,pendant,BlackHole.jpg
,Celtic Cross,celtic-cross,,,pendant,CelticCross.jpg
,Double Shell,double-shell,,,pendant,DShell.jpg
,Double Heart,double-heart,,,pendant,DoubleHart.jpg
,Sasso Earings,sasso-earings,,,earring,Sasso.jpg
,Nebulae Earings,nebulae-earings,,,earring,BladeEarings.jpg
,Black Hole,black-hole-pin,,,pin ,PinBlackHole.jpg
,Five Pointed Star,five-pointed-star-pin,,,pin,PinFiveStar.jpg
,Sasso,sasso-pin,,,pin,PinSasso.jpg
,Double Shell,double-shell-pin,,,pin,PinDShell.jpg
,Star Bangle,star-bangle,,,bracelet,Bracelet.jpg
,Black Hole Bracelet,black-hole-bracelet,,,bracelet,BlackHBrace.jpg